,rh,Tair,Tw
0,0.5,54.60000000000042,18.62
1,1.0,54.50000000000042,19.13
2,1.5,54.50000000000042,19.65
3,2.0,54.40000000000042,20.12
4,2.5,54.40000000000042,20.6
5,3.0,54.300000000000416,21.02
6,3.5,54.200000000000415,21.43
7,4.0,54.200000000000415,21.86
8,4.5,54.10000000000041,22.24
9,5.0,54.00000000000041,22.61
10,5.5,54.00000000000041,23.01
11,6.0,53.90000000000041,23.36
12,6.5,53.80000000000041,23.69
13,7.0,53.70000000000041,24.01
14,7.5,53.70000000000041,24.38
15,8.0,53.600000000000406,24.69
16,8.5,53.500000000000405,24.98
17,9.0,53.400000000000404,25.27
18,9.5,53.3000000000004,25.55
19,10.0,53.2000000000004,25.82
20,10.5,53.2000000000004,26.15
21,11.0,53.1000000000004,26.41
22,11.5,53.0000000000004,26.66
23,12.0,52.9000000000004,26.91
24,12.5,52.800000000000395,27.14
25,13.0,52.700000000000394,27.38
26,13.5,52.60000000000039,27.6
27,14.0,52.50000000000039,27.83
28,14.5,52.40000000000039,28.04
29,15.0,52.30000000000039,28.25
30,15.5,52.20000000000039,28.46
31,16.0,52.100000000000385,28.66
32,16.5,52.000000000000384,28.85
33,17.0,51.90000000000038,29.04
34,17.5,51.80000000000038,29.23
35,18.0,51.60000000000038,29.34
36,18.5,51.50000000000038,29.52
37,19.0,51.400000000000375,29.69
38,19.5,51.300000000000374,29.86
39,20.0,51.20000000000037,30.02
40,20.5,51.10000000000037,30.19
41,21.0,50.90000000000037,30.27
42,21.5,50.80000000000037,30.42
43,22.0,50.700000000000365,30.57
44,22.5,50.600000000000364,30.72
45,23.0,50.40000000000036,30.79
46,23.5,50.30000000000036,30.93
47,24.0,50.20000000000036,31.06
48,24.5,50.10000000000036,31.2
49,25.0,49.900000000000354,31.25
50,25.5,49.80000000000035,31.38
51,26.0,49.70000000000035,31.5
52,26.5,49.50000000000035,31.54
53,27.0,49.40000000000035,31.66
54,27.5,49.300000000000345,31.78
55,28.0,49.10000000000034,31.81
56,28.5,49.00000000000034,31.92
57,29.0,48.90000000000034,32.03
58,29.5,48.70000000000034,32.06
59,30.0,48.600000000000335,32.16
60,30.5,48.500000000000334,32.26
61,31.0,48.30000000000033,32.28
62,31.5,48.20000000000033,32.37
63,32.0,48.10000000000033,32.47
64,32.5,47.900000000000325,32.48
65,33.0,47.800000000000324,32.57
66,33.5,47.70000000000032,32.66
67,34.0,47.50000000000032,32.66
68,34.5,47.40000000000032,32.74
69,35.0,47.200000000000315,32.74
70,35.5,47.100000000000314,32.82
71,36.0,47.00000000000031,32.9
72,36.5,46.80000000000031,32.89
73,37.0,46.70000000000031,32.96
74,37.5,46.60000000000031,33.03
75,38.0,46.400000000000304,33.02
76,38.5,46.3000000000003,33.09
77,39.0,46.2000000000003,33.15
78,39.5,46.0000000000003,33.14
79,40.0,45.9000000000003,33.2
80,40.5,45.800000000000296,33.26
81,41.0,45.700000000000294,33.32
82,41.5,45.50000000000029,33.29
83,42.0,45.40000000000029,33.35
84,42.5,45.30000000000029,33.41
85,43.0,45.100000000000286,33.37
86,43.5,45.000000000000284,33.43
87,44.0,44.90000000000028,33.48
88,44.5,44.80000000000028,33.53
89,45.0,44.60000000000028,33.49
90,45.5,44.50000000000028,33.54
91,46.0,44.400000000000276,33.58
92,46.5,44.20000000000027,33.54
93,47.0,44.10000000000027,33.58
94,47.5,44.00000000000027,33.63
95,48.0,43.80000000000027,33.58
96,48.5,43.700000000000266,33.62
97,49.0,43.600000000000264,33.66
98,49.5,43.40000000000026,33.61
99,50.0,43.30000000000026,33.64
100,50.5,43.20000000000026,33.68
101,51.0,43.10000000000026,33.71
